"H. G. Wells","The World Set Free",NaN,2024
"H. G. Wells","The First Men in the Moon",192828282,2024
"Isaac Asimov","Second Foundation",9780008117511,2024
"Isaac Asimov","Foundation’s Edge",9780008117528,2024
"Philip K Dick","The Man in the High Castle",9780544817289,2024
"Han Kang","The Vegetarian",9780553448191,2024
"Isaac Asimov","Foundation and Earth",9780586071106,2024
"Han Kang","Greek Lessons",9780593595275,2024
"Homer","The Illiad",9781324001805,2024
"Homer","The Odyssey",9780131830752,2024
"Albert Camus","The First Man",679439374,2024
"Fyodor Dostoyevsky","The Brothers Karamazov",9780852291634,2024
"Fyodor Dostoyevsky","The Idiot",9781862075931,2024
"Albert Camus","The Myth of Sisyphus",679733736,2024
"James Joyce","Ulysses",9798682325047,2024
"Chandrachur Ghose","India: The Birth of a Republic",9780670097104,2024
"Joseph Menn","Cult of the Dead Cow",9781541762381,2024
"Michael Riordan, Lillian Hoddeson","Crystal Fire",393041247,2024
"Andrew Roberts","Napoleon",9788490613214,2024
